country,year,best_available_lhv_mj_per_kg,best_available_lhv_model,lhv_interpretation_type,lhv_caution_band,caveat,recommended_use
Indonesia,2019,9.622,Wang2021_Eq14_composition_model,composition-model,Low/caution,,interpretation_only_not_strict_cross_country_measurement
Indonesia,2020,9.622,Wang2021_Eq14_composition_model,composition-model,Low/caution,,interpretation_only_not_strict_cross_country_measurement
Indonesia,2021,9.756,Wang2021_Eq14_composition_model,composition-model,Low/caution,,interpretation_only_not_strict_cross_country_measurement
Indonesia,2022,9.758,Wang2021_Eq14_composition_model,composition-model,Low/caution,,interpretation_only_not_strict_cross_country_measurement
Indonesia,2023,9.773,Wang2021_Eq14_composition_model,composition-model,Low/caution,,interpretation_only_not_strict_cross_country_measurement
Indonesia,2024,9.826,Wang2021_Eq14_composition_model,composition-model,Low/caution,,interpretation_only_not_strict_cross_country_measurement
Indonesia,2025,9.389,Wang2021_Eq14_composition_model,composition-model,Low/caution,,interpretation_only_not_strict_cross_country_measurement
Singapore,2020,11.697,Wang2021_Eq14_composition_model,composition-model,Favorable,"Singapore composition replaced with disposed waste proxy, closer to incineration feedstock than generated totals. Singapore weather replaced with official Changi/S24 observed humidity-weather aggregation.",interpretation_only_not_strict_cross_country_measurement
Singapore,2021,11.495,Wang2021_Eq14_composition_model,composition-model,Favorable,"Singapore composition replaced with disposed waste proxy, closer to incineration feedstock than generated totals. Singapore weather replaced with official Changi/S24 observed humidity-weather aggregation.",interpretation_only_not_strict_cross_country_measurement
Singapore,2022,11.37,Wang2021_Eq14_composition_model,composition-model,Favorable,"Singapore composition replaced with disposed waste proxy, closer to incineration feedstock than generated totals. Singapore weather replaced with official Changi/S24 observed humidity-weather aggregation.",interpretation_only_not_strict_cross_country_measurement
Singapore,2023,11.662,Wang2021_Eq14_composition_model,composition-model,Favorable,"Singapore composition replaced with disposed waste proxy, closer to incineration feedstock than generated totals. Singapore weather replaced with official Changi/S24 observed humidity-weather aggregation.",interpretation_only_not_strict_cross_country_measurement
Singapore,2024,11.58,Wang2021_Eq14_composition_model,composition-model,Favorable,"Singapore composition replaced with disposed waste proxy, closer to incineration feedstock than generated totals. Singapore weather replaced with official Changi/S24 observed humidity-weather aggregation.",interpretation_only_not_strict_cross_country_measurement
South Korea,2017,10.323,Korea_Kwon2017_Bae2024_facility_literature_benchmark,facility-literature-benchmark,Korea literature benchmark,South Korea food share filled from available 2022 proxy for non-2022 years. Paper/plastic combustible share missing; neutral 25% placeholder used for risk scoring only.,interpretation_only_not_strict_cross_country_measurement
South Korea,2018,10.323,Korea_Kwon2017_Bae2024_facility_literature_benchmark,facility-literature-benchmark,Korea literature benchmark,South Korea food share filled from available 2022 proxy for non-2022 years. Paper/plastic combustible share missing; neutral 25% placeholder used for risk scoring only.,interpretation_only_not_strict_cross_country_measurement
South Korea,2019,10.323,Korea_Kwon2017_Bae2024_facility_literature_benchmark,facility-literature-benchmark,Korea literature benchmark,South Korea food share filled from available 2022 proxy for non-2022 years. Paper/plastic combustible share missing; neutral 25% placeholder used for risk scoring only.,interpretation_only_not_strict_cross_country_measurement
South Korea,2020,10.323,Korea_Kwon2017_Bae2024_facility_literature_benchmark,facility-literature-benchmark,Korea literature benchmark,South Korea food share filled from available 2022 proxy for non-2022 years. Paper/plastic combustible share missing; neutral 25% placeholder used for risk scoring only.,interpretation_only_not_strict_cross_country_measurement
South Korea,2021,10.323,Korea_Kwon2017_Bae2024_facility_literature_benchmark,facility-literature-benchmark,Korea literature benchmark,South Korea food share filled from available 2022 proxy for non-2022 years. Paper/plastic combustible share missing; neutral 25% placeholder used for risk scoring only.,interpretation_only_not_strict_cross_country_measurement
South Korea,2022,10.323,Korea_Kwon2017_Bae2024_facility_literature_benchmark,facility-literature-benchmark,Korea literature benchmark,Paper/plastic combustible share missing; neutral 25% placeholder used for risk scoring only.,interpretation_only_not_strict_cross_country_measurement
South Korea,2023,10.323,Korea_Kwon2017_Bae2024_facility_literature_benchmark,facility-literature-benchmark,Korea literature benchmark,South Korea food share filled from available 2022 proxy for non-2022 years. Paper/plastic combustible share missing; neutral 25% placeholder used for risk scoring only.,interpretation_only_not_strict_cross_country_measurement
South Korea,2024,10.323,Korea_Kwon2017_Bae2024_facility_literature_benchmark,facility-literature-benchmark,Korea literature benchmark,South Korea food share filled from available 2022 proxy for non-2022 years. Paper/plastic combustible share missing; neutral 25% placeholder used for risk scoring only.,interpretation_only_not_strict_cross_country_measurement
