"relative_path","size_bytes","rows","columns","sha256","source_notes","redistribution_status"
"01_raw_data/external_analysis_updates/apec_methodology_updates_2026-05-07/dataset_level_confidence_summary_for_report.csv","1190","5","dataset_or_module|suggested_report_use|confidence_class|reason","d7043d2efc5829cdd725845db722808727e18eef81cffb598d9ec2afb86a1c3f","","pending source-terms and team-consent review"
"01_raw_data/external_analysis_updates/apec_methodology_updates_2026-05-07/korea_seoul_daily_regression_date_clustered_lagged_rain_results.csv","3115","14","model|term|coef_log|cluster_se_by_date|p_value_clustered|ci_low|ci_high|pct_change_for_10unit|nobs|r_squared|clusters_date","7c4698c6b6b42fb092ca9a66826b9e47f1ce3e49e13ce239d1c3be62b250895e","","pending source-terms and team-consent review"
"01_raw_data/external_analysis_updates/apec_methodology_updates_2026-05-07/lhv_scenario_A_same_model_comparable_table.csv","4295","20","country|year|wang2021_eq14_lhv_mj_per_kg|lin2015_eq26_lhv_mj_per_kg|kumar2023_mlr2_lhv_mj_per_kg|food_pct|paper_pct|plastic_pct|composition_basis|caveat|strictly_comparable_across_countries","d6b95f2e18f22abb227744e6e6270eea405d26234fd5f0a1a8078b26230dfe2f","","pending source-terms and team-consent review"
"01_raw_data/external_analysis_updates/apec_methodology_updates_2026-05-07/lhv_scenario_B_best_available_with_interpretation_type.csv","5650","20","country|year|best_available_lhv_mj_per_kg|best_available_lhv_model|lhv_interpretation_type|lhv_caution_band|caveat|recommended_use","508f166edc5808f1086a1a661419d0e6321d6d76a33c6927d7693cdc11272c2e","","pending source-terms and team-consent review"
"01_raw_data/external_analysis_updates/apec_methodology_updates_2026-05-07/literature_justification_for_weights_quality_regression_lhv.csv","2817","8","issue|source|evidence|methodological_use","fb8e9972ef87d4e5d5adfe7aa3b0aa671b4e1e5c6fa5e123d7e834112414fb22","source=Cameron & Miller 2015 | Komilis et al. 2014, Waste Management | Lin et al. 2015, Waste Management | Magrinho et al. 2008, Waste Management | NIST Research Data Framework | OECD/JRC Handbook on Constructing Composite Indicators | Ryu & Shin 2012; Bae et al. 2024 | Wang et al. 2021, Energy","pending source-terms and team-consent review"
"01_raw_data/external_analysis_updates/apec_methodology_updates_2026-05-07/revised_country_year_data_confidence_rubric_scores.csv","9403","20","country|year|composition_basis|weather_basis|food_pct|paper_pct|plastic_pct|best_available_lhv_model|lhv_interpretation_type|caveat|source_reliability_0_4|measurement_directness_0_4|temporal_alignment_0_4|core_variable_completeness_0_4|cross_country_comparability_0_4|data_confidence_score_0_100|data_confidence_class|confidence_note","dc74ea2facf5165e020ec432dcce6fdbce799993d95de4d8eefe9a30925aef7d","source_reliability_0_4=3.0 | 4.0","pending source-terms and team-consent review"
"02_processed_data/indonesia/indonesia_sipsn_2025_municipal_lhv_scenario_estimates.csv","51103","221","country|year|province|municipality|waste_generation_tpd|food_waste_share_pct|paper_cardboard_share_pct|plastic_share_pct|known_share_pct|unknown_or_other_share_pct|estimated_lhv_low_food_unknown_zero_mj_per_kg|estimated_lhv_mixed_food_unknown_zero_mj_per_kg|estimated_lhv_mixed_food_other5_mj_per_kg|existing_feedstock_risk_score_0_100|source_note","ed911eda8d0f7924149cfa0dda4c0c5ba3e904728a880d6db44fa6fa82b5bcb8","source_note=Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV.","pending source-terms and team-consent review"
"02_processed_data/indonesia/indonesia_sipsn_2025_waste_management_composition_joined.csv","155641","514","country|year|province|municipality|municipality_normalized|waste_generation_tpd|managed_waste_pct|unmanaged_waste_pct|leaked_to_environment_pct|rdf_status|wte_psel|composition_match|food_waste_share_pct|paper_cardboard_share_pct|plastic_share_pct|paper_plastic_share_pct|combustible_dry_share_pct|reported_component_sum_pct|municipality_feedstock_risk_score_0_100|municipality_feedstock_risk_level|risk_formula_note","eadf88f04b8de58d0c7232e65b4ca31b4bb30309c3799fcaa15aaeeb18cf2962","","pending source-terms and team-consent review"
"02_processed_data/panels/combined_country_summary_three_country_with_weather.csv","6039","20","country|year|total_waste_generated_tpy|total_waste_generated_tpd|per_capita_waste_kg_day_person|food_waste_tpy|food_waste_tpd|food_waste_share_pct|paper_waste_tpy|paper_waste_tpd|paper_waste_share_pct|plastic_waste_tpy|plastic_waste_tpd|plastic_waste_share_pct|incinerated_tpd|landfill_or_disposed_tpy|landfill_or_disposed_tpd|other_methods_tpd|recycled_tpy|recycling_rate_pct|weather_location_proxy|weather_temp_mean_c|weather_relative_humidity_pct|weather_precipitation_mm_total|weather_precipitation_days_1mm|weather_precipitation_days_10mm|weather_wind_speed_mps|primary_source|weather_source","fce093b592b49524fc03934902a95bf02ed911a8f968d8f26d2cb2a05e67f0bc","primary_source=e-Nara official waste table | e-Nara official waste table; 2022 food-waste share estimated from MOE survey per-capita food-separated disposal / household waste | NEA/SingStat official statistics; NEA food waste management | teammate uploaded CSV; SIPSN-derived | teammate uploaded CSV; SIPSN-derived; 2025 composition overridden with uploaded SIPSN weighted municipality composition || weather_source=MSS/NEA Changi daily PDF aggregated annual | NASA POWER Daily API aggregated annual","pending source-terms and team-consent review"
"02_processed_data/singapore/singapore_changi_monthly_weather_humidity_2020_2024.csv","12381","60","country|station|station_code|year|month|date_month|days_weather|days_humidity|precipitation_mm_total|precipitation_days_1mm|precipitation_days_10mm|temp_mean_c|relative_humidity_mean_pct|mean_daily_min_humidity_pct|mean_daily_max_humidity_pct|humidity_observations|wind_mean_kmh|source","f7edb3ae2cd2b53d381f4c244d4e138d8bd3a43cff8590de1a3aa873f2acfe61","source=MSS/NEA Changi daily weather + data.gov.sg S24 humidity","pending source-terms and team-consent review"
"02_processed_data/singapore/singapore_disposed_waste_composition_lhv_lin2015_2020_2024.csv","1499","5","country|year|total_disposed_tonnes|food_disposed_tonnes|paper_cardboard_disposed_tonnes|plastic_disposed_tonnes|wood_disposed_tonnes|textile_leather_disposed_tonnes|horticultural_disposed_tonnes|food_share_disposed_pct|paper_share_disposed_pct|plastic_share_disposed_pct|wood_share_disposed_pct|textile_share_disposed_pct|horticultural_share_disposed_pct|lin2015_wet_lhv_kj_per_kg|lin2015_wet_lhv_mj_per_kg|source","eec352beaa36ccbfc0d9e437c77588f9aff067a9884cda9a5f0bacb4adf2cf94","source=data.gov.sg disposed_tonnes by category; Lin 2015 Eq.26","pending source-terms and team-consent review"
"02_processed_data/singapore/singapore_nea_wte_electricity_generated_exported_fy2019_2024.csv","2216","6","country|fiscal_year|calendar_coverage|electricity_generated_from_wte_mwh|electricity_exported_to_grid_mwh|source_url|source_note","7a7326b99bede9dac252fd29598f95a3eacee7d293788423ae52d23fb24d6da4","source_url=https://www.nea.gov.sg/committee-of-supply-2022/integrated-sustainability-report-2020-2021/review-of-fy2020/enabled-by-a-high-performance-and-future-ready-nea/walking-the-talk | https://www.nea.gov.sg/docs/default-source/asr/fy2024/nea-annual-sustainability-report-2024-2025.pdf | https://www.nea.gov.sg/docs/default-source/resource/publications/annual-report/nea-integrated-sustainability-report-2019-2020-%28lores%29.pdf | https://www.nea.gov.sg/integrated-sustainability-report-2021-2022/review-of-fy2021/enabled-by-a-high-performance-and-future-ready-nea/walking-the-talk || source_note=FY2024 NEA Annual Sustainability Report table restates total electricity generated/exported from waste incineration for FY2022-FY2024. | FY2024 NEA Annual Sustainability Report table. FY2023 exported electricity decreased because TSIP transformers underwent servicing/repairs from May to September 2023. | FY2024 NEA Annual Sustainability Report table. TSIP remained operational and generated sufficient power for TSIP and TMTS, with surplus exported. | NEA page states total solar + WTE electricity generated was 546588 MWh and solar generated 1418 MWh; WTE generated is derived by subtraction. Exported-to-grid value is directly stated. | NEA page states total solar + WTE electricity generated was 678636 MWh and solar generated 624 MWh; WTE generated is derived by subtraction. Exported-to-grid value is directly stated. | NEA report states total solar + WTE electricity generated was 706315 MWh and solar generated 322 MWh; WTE generated is derived by subtraction. Exported-to-grid value is directly stated.","pending source-terms and team-consent review"
"02_processed_data/singapore/singapore_wte_facility_design_capacity_latest_2026-05-04.csv","1679","4","plant|abbreviation|status_or_role|commissioning_or_operation_year|incineration_capacity_tonnes_per_day|power_capacity_mw|incinerator_boiler_units|operator_or_om|primary_source_url|notes","6c9cbdfce297f588605760f54321c3cd08bca029ee7fd34e6e047f50a33f4802","primary_source_url=https://www.kepinfratrust.com/portfolio/environmental-services/keppel-seghers-tuas-waste-to-energy-plant/ | https://www.kepinfratrust.com/portfolio/environmental-services/senoko-waste-to-energy-plant/ | https://www.nea.gov.sg/media/news/news/index/nea-extends-tuas-south-waste-to-energy-plant-operations-to-2035 | https://www.nea.gov.sg/media/news/news/index/tuasone---the-latest-and-most-land-efficient-waste-to-energy-plant-in-singapore","pending source-terms and team-consent review"
"05_analysis_results/models/korea_seoul_daily_regression_results.csv","1980","12","model|dependent_variable|fixed_effects|sample|variable|coefficient_log_points|approx_percent_change|standard_error|t_stat","28f64e6b8fc3cd29024c325bc36b946a09fc2f7b44e1839062ce91df23cea8cb","","pending source-terms and team-consent review"
