country,year,composition_basis,weather_basis,food_pct,paper_pct,plastic_pct,best_available_lhv_model,lhv_interpretation_type,caveat,source_reliability_0_4,measurement_directness_0_4,temporal_alignment_0_4,core_variable_completeness_0_4,cross_country_comparability_0_4,data_confidence_score_0_100,data_confidence_class,confidence_note
Indonesia,2019,country_year_panel,NASA POWER Daily API aggregated annual,40.799,11.699,15.879,Wang2021_Eq14_composition_model,composition-model,,3.0,2.5,3.0,3.5,3.0,75.0,Medium,"SIPSN/team-compiled country-year data; same-year composition and weather proxies mostly available, but dynamic portal/update uncertainty remains."
Indonesia,2020,country_year_panel,NASA POWER Daily API aggregated annual,40.799,11.699,15.879,Wang2021_Eq14_composition_model,composition-model,,3.0,2.5,3.0,3.5,3.0,75.0,Medium,"SIPSN/team-compiled country-year data; same-year composition and weather proxies mostly available, but dynamic portal/update uncertainty remains."
Indonesia,2021,country_year_panel,NASA POWER Daily API aggregated annual,38.95,11.649,17.85,Wang2021_Eq14_composition_model,composition-model,,3.0,2.5,3.0,3.5,3.0,75.0,Medium,"SIPSN/team-compiled country-year data; same-year composition and weather proxies mostly available, but dynamic portal/update uncertainty remains."
Indonesia,2022,country_year_panel,NASA POWER Daily API aggregated annual,39.899,11.25,18.399,Wang2021_Eq14_composition_model,composition-model,,3.0,2.5,3.0,3.5,3.0,75.0,Medium,"SIPSN/team-compiled country-year data; same-year composition and weather proxies mostly available, but dynamic portal/update uncertainty remains."
Indonesia,2023,country_year_panel,NASA POWER Daily API aggregated annual,39.639,10.78,19.19,Wang2021_Eq14_composition_model,composition-model,,3.0,2.5,3.0,3.5,3.0,75.0,Medium,"SIPSN/team-compiled country-year data; same-year composition and weather proxies mostly available, but dynamic portal/update uncertainty remains."
Indonesia,2024,country_year_panel,NASA POWER Daily API aggregated annual,39.36,11.229,19.41,Wang2021_Eq14_composition_model,composition-model,,3.0,2.5,3.0,3.5,3.0,75.0,Medium,"SIPSN/team-compiled country-year data; same-year composition and weather proxies mostly available, but dynamic portal/update uncertainty remains."
Indonesia,2025,country_year_panel,NASA POWER Daily API aggregated annual,34.847,9.359,15.103,Wang2021_Eq14_composition_model,composition-model,,3.0,2.5,3.0,3.5,3.0,75.0,Medium,"SIPSN/team-compiled country-year data; same-year composition and weather proxies mostly available, but dynamic portal/update uncertainty remains."
Singapore,2020,singapore_disposed_waste_proxy,MSS/NEA Changi daily weather + data.gov.sg S24 Upper Changi humidity,18.972,25.062,29.285,Wang2021_Eq14_composition_model,composition-model,"Singapore composition replaced with disposed waste proxy, closer to incineration feedstock than generated totals. Singapore weather replaced with official Changi/S24 observed humidity-weather aggregation.",4.0,2.5,3.5,3.0,3.5,82.5,High,"Official NEA/data.gov.sg data; disposed-waste proxy closer to WtE feedstock, but not plant bunker sampling or direct LHV/moisture."
Singapore,2021,singapore_disposed_waste_proxy,MSS/NEA Changi daily weather + data.gov.sg S24 Upper Changi humidity,21.264,22.418,29.634,Wang2021_Eq14_composition_model,composition-model,"Singapore composition replaced with disposed waste proxy, closer to incineration feedstock than generated totals. Singapore weather replaced with official Changi/S24 observed humidity-weather aggregation.",4.0,2.5,3.5,3.0,3.5,82.5,High,"Official NEA/data.gov.sg data; disposed-waste proxy closer to WtE feedstock, but not plant bunker sampling or direct LHV/moisture."
Singapore,2022,singapore_disposed_waste_proxy,MSS/NEA Changi daily weather + data.gov.sg S24 Upper Changi humidity,20.863,20.988,29.528,Wang2021_Eq14_composition_model,composition-model,"Singapore composition replaced with disposed waste proxy, closer to incineration feedstock than generated totals. Singapore weather replaced with official Changi/S24 observed humidity-weather aggregation.",4.0,2.5,3.5,3.0,3.5,82.5,High,"Official NEA/data.gov.sg data; disposed-waste proxy closer to WtE feedstock, but not plant bunker sampling or direct LHV/moisture."
Singapore,2023,singapore_disposed_waste_proxy,MSS/NEA Changi daily weather + data.gov.sg S24 Upper Changi humidity,18.845,26.104,27.495,Wang2021_Eq14_composition_model,composition-model,"Singapore composition replaced with disposed waste proxy, closer to incineration feedstock than generated totals. Singapore weather replaced with official Changi/S24 observed humidity-weather aggregation.",4.0,2.5,3.5,3.0,3.5,82.5,High,"Official NEA/data.gov.sg data; disposed-waste proxy closer to WtE feedstock, but not plant bunker sampling or direct LHV/moisture."
Singapore,2024,singapore_disposed_waste_proxy,MSS/NEA Changi daily weather + data.gov.sg S24 Upper Changi humidity,19.388,26.14,26.261,Wang2021_Eq14_composition_model,composition-model,"Singapore composition replaced with disposed waste proxy, closer to incineration feedstock than generated totals. Singapore weather replaced with official Changi/S24 observed humidity-weather aggregation.",4.0,2.5,3.5,3.0,3.5,82.5,High,"Official NEA/data.gov.sg data; disposed-waste proxy closer to WtE feedstock, but not plant bunker sampling or direct LHV/moisture."
South Korea,2017,country_year_panel,NASA POWER Daily API aggregated annual,32.706,,,Korea_Kwon2017_Bae2024_facility_literature_benchmark,facility-literature-benchmark,South Korea food share filled from available 2022 proxy for non-2022 years. Paper/plastic combustible share missing; neutral 25% placeholder used for risk scoring only.,4.0,1.5,2.0,2.0,1.5,55.0,Low,Official Korean waste/weather data; food share uses 2022 proxy for non-2022 years and paper/plastic missing; LHV is facility-literature benchmark.
South Korea,2018,country_year_panel,NASA POWER Daily API aggregated annual,32.706,,,Korea_Kwon2017_Bae2024_facility_literature_benchmark,facility-literature-benchmark,South Korea food share filled from available 2022 proxy for non-2022 years. Paper/plastic combustible share missing; neutral 25% placeholder used for risk scoring only.,4.0,1.5,2.0,2.0,1.5,55.0,Low,Official Korean waste/weather data; food share uses 2022 proxy for non-2022 years and paper/plastic missing; LHV is facility-literature benchmark.
South Korea,2019,country_year_panel,NASA POWER Daily API aggregated annual,32.706,,,Korea_Kwon2017_Bae2024_facility_literature_benchmark,facility-literature-benchmark,South Korea food share filled from available 2022 proxy for non-2022 years. Paper/plastic combustible share missing; neutral 25% placeholder used for risk scoring only.,4.0,1.5,2.0,2.0,1.5,55.0,Low,Official Korean waste/weather data; food share uses 2022 proxy for non-2022 years and paper/plastic missing; LHV is facility-literature benchmark.
South Korea,2020,country_year_panel,NASA POWER Daily API aggregated annual,32.706,,,Korea_Kwon2017_Bae2024_facility_literature_benchmark,facility-literature-benchmark,South Korea food share filled from available 2022 proxy for non-2022 years. Paper/plastic combustible share missing; neutral 25% placeholder used for risk scoring only.,4.0,1.5,2.0,2.0,1.5,55.0,Low,Official Korean waste/weather data; food share uses 2022 proxy for non-2022 years and paper/plastic missing; LHV is facility-literature benchmark.
South Korea,2021,country_year_panel,NASA POWER Daily API aggregated annual,32.706,,,Korea_Kwon2017_Bae2024_facility_literature_benchmark,facility-literature-benchmark,South Korea food share filled from available 2022 proxy for non-2022 years. Paper/plastic combustible share missing; neutral 25% placeholder used for risk scoring only.,4.0,1.5,2.0,2.0,1.5,55.0,Low,Official Korean waste/weather data; food share uses 2022 proxy for non-2022 years and paper/plastic missing; LHV is facility-literature benchmark.
